CODE,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LV,Latvia,1998.3857965553032,2271.8633520272456,2777.859620328917,3092.3926194870387,3403.5928826282825,4169.445959202481,4527.884132843824,4911.535178960679,5071.361606204879,5662.753197373804,6661.559691475586,8386.467932558948,11008.413467924347,11848.842550441443,9139.424769763487,8663.906130833557,9498.780653322521,10673.207845357185,11008.316866880381,11411.3847228347,11868.452562366841,12254.4703340609,13033.606054180627,14081.34097705194,14817.92393730399,14632.160129754522,16275.29558711941
LT,Lithuania,1682.8715241919558,2169.1979671613826,2931.824596532398,3294.211890601029,3381.8104513034477,4099.2249203119245,4489.869814607142,4979.022017599228,5470.868549915243,5986.471181026402,6893.507290625147,7903.355064304113,9532.405717366826,10731.349408841146,8837.728759238345,9211.254805024202,10290.103695535528,10977.814826631407,11513.164920226494,12019.764548474763,12270.928613744563,12778.3168261852,13891.009121619069,14955.236346896872,16070.097248859756,16353.133258571172,18459.145917318918
LU,Luxembourg,31123.46370568729,32130.386667004972,33700.39796780735,35143.15325566553,40104.77151495161,44863.59990084961,46608.29545254932,48816.148241544404,51189.902274408465,55019.48851670625,59101.830183486774,66702.05893202538,73468.68272460588,78089.91066705962,76218.34945828364,82760.7138047401,86509.69156031095,90808.87591172493,95821.63078970944,101085.18931283704,105673.82254031888,109705.80830013682,113532.66205135912,117343.31603406246,121739.50381865627,126438.21740089353,141103.88735891075
HU,Hungary,3569.2018256267993,3698.9108467332444,4200.338350358858,4368.104742902431,4632.906363570864,5156.009059707206,6038.956177470117,7220.646617080051,7590.1211033457885,8440.978068408276,9166.21149433245,9270.49191215449,10305.738955010189,10902.541330788394,9519.93775577029,10039.780116542901,10279.314138142421,10087.678870652031,10288.139181704126,10693.074846432166,11349.89154353534,11698.536109421684,12782.195107323398,13690.852585747827,14744.574862331334,13869.154691642714,15472.374292939925
MT,Malta,6819.314283524023,7212.19264455049,8017.593284654746,8580.559228808524,9249.41068245846,10570.344391421837,10937.110715038618,11357.298913355948,11555.175453726595,11763.353073075376,12342.369535636943,12943.425516012188,13871.241303972864,14867.092125184461,14995.49627244677,16327.928860269458,16588.570114413844,17642.39444987447,19031.36319208877,20964.133080358,23948.09214434926,25252.25665497614,28595.31612334464,31025.41252227908,33964.573870714274,31535.675271661014,35892.55255945879
NL,Netherlands,20773.593629462026,21309.641164617802,22086.09746071023,23502.97935271673,25183.961453905635,27138.11567971011,28931.72522074744,30087.839076348122,30788.676064114366,31777.881085140376,33074.54658884872,35095.644465930454,37174.43996532379,38857.21723707161,37514.982019175426,38376.24361341056,39047.000987463885,39203.523049239484,39653.63655024896,40319.89098811771,41427.49321122331,42527.95077558273,44317.657771926766,46469.52091580836,48815.130393924665,47822.9834545914,51414.88559029801
AT,Austria,21941.515887997295,22252.967766968104,22358.37199503924,23210.341897228496,24262.325129672434,25423.473626329156,26246.92630511525,26986.053221041806,27596.30513905122,28844.326429372264,30240.03980033183,31876.50709240961,33799.098779567576,34963.57983989412,34283.034632477735,35217.65211367851,36911.55852100824,37926.121824245354,38551.83445728011,39651.09248578305,40974.96530563179,42562.55102988119,43961.501748405724,45855.373877937716,47271.16594500794,45351.7282913232,48339.871505866504
PL,Poland,2860.713481676029,3317.183413714942,3696.9590794374967,4074.4742383044727,4194.065564949948,4908.398873794456,5594.336536638019,5534.561901286032,5061.224908209622,5418.014373406556,6471.7995855649815,7215.267147883015,8249.491090251657,9621.361158946094,8333.40057903146,9438.083994389212,9910.54569818317,10129.946287991464,10207.933774508921,10682.537702822992,11298.186744939783,11164.1518308857,12242.815760937207,13116.3045233925,13996.866569508678,13829.759914458213,15107.855747594958
PT,Portugal,8617.143168766896,9148.378298491089,9780.804678731982,10479.249639610316,11323.734555505504,12157.94696889221,12854.829751969717,13496.67653773682,13829.33519961508,14414.489132828476,15011.36413342021,15741.118924524848,16614.31950872254,16956.995044014595,16607.97612007675,17005.09118479162,16672.337845470887,15933.79698770462,16141.774925588265,16384.281726742345,17014.786154901005,17656.377311573426,18551.779756031377,19426.30582442371,20296.43885948523,18984.616619791865,20305.537361707025
RO,Romania,1420.8483294180628,1442.9936405286228,1563.0186424655922,1841.96209444349,1676.14559866166,2017.474618496573,2243.534709718755,2420.0660373574897,2539.9767345019227,3001.842642953425,3937.2484580159244,4831.395212746316,6343.021426532757,7285.220922090798,6222.84733138813,6375.170891877059,6884.165163268742,6923.878624014811,7103.242722599017,7480.622480045241,7965.9407500610905,8324.087483719642,9263.608271313458,10241.306859614482,11141.168853971702,10957.684813082591,11990.493220707
SI,Slovenia,7970.192016443362,8265.628193303153,8936.102964165742,9650.134694898861,10353.923467543724,10665.748377344722,11339.978899506339,12180.535550624845,12802.478210545467,13507.047399044674,14204.690396836584,15352.779670557202,17107.44716706606,18498.63597941458,17683.68672351671,17736.85255359384,18075.69936235147,17682.906307662368,17780.94604936423,18356.502741942328,18950.740639033767,19726.571550232686,20979.187772444395,22376.61991162766,23672.50043776452,22934.763575455727,25465.018103209022
SK,Slovakia,2839.1324423257506,3159.7343430727533,3581.7993431950426,3767.58650488898,3616.077417308315,4148.406643943083,4430.172413154183,4880.586307002584,5580.6742812165785,6440.146035712935,7300.933327107694,8449.452625478132,10438.933518323762,12247.111192143244,11876.055672039245,12741.234262658245,13300.96741989492,13646.249534003478,13802.539023271293,14147.487620983073,14846.297115676085,15057.375937459004,15688.222201964189,16652.60339193587,17498.03040039014,17308.35221406713,18255.019977632168
FI,Finland,19095.50318904555,19374.298175572752,20842.353025221404,22274.837608338625,23611.06666894872,25383.25473891945,26906.15328403602,27623.8838712654,28230.922467981178,29534.85551253554,30637.868641535802,32165.232073664683,34802.30596531229,36140.469810294395,33811.65915945525,35001.55154823678,36834.94577766798,37400.31209560216,38011.25746845371,38490.48867444202,39325.42254574463,40466.387214349554,42100.34982389741,43432.56048619643,44622.45287497796,44283.86560987752,46792.01588904458
SE,Sweden,21547.150093510867,24230.181733243837,24955.111092598167,25463.64992399441,27113.110977653883,30070.089651270635,28527.748236158837,29909.462920185957,31246.444240684898,32709.769367980425,33299.54955548725,35571.27046654199,37852.007649594976,37423.44473262535,33179.617319889425,39512.91040514698,43535.90769868357,45348.90599930084,46594.69115577534,46276.55911642643,48033.49835044404,49169.422078055606,50620.35642219563,49634.11335510245,50287.54525931273,50676.34167136374,56637.47890271442
IS,Iceland,17244.16585328753,18485.150020915462,21144.58289495367,23992.57184144811,26677.356792455226,30981.18875888907,29082.95199584226,31408.37125581513,32064.356247385567,35291.04184360304,42997.122539264026,44260.60667520187,50157.18287720722,35024.2112335053,29849.218522227435,32905.0944998669,34650.90190013817,36379.913549417535,38449.27683200446,42694.79902140983,50055.45766836948,59590.69071733702,69457.402172673,70482.259884141,70265.18272509475,60226.07714637022,68619.19912788855
NO,Norway,23341.781871880743,25837.96958767089,28581.91059596133,27601.720819107966,30601.688288687004,37353.015710586886,39088.87511812358,41830.46670712219,40749.010934639155,42900.476590747625,50069.31790936222,55518.123259773085,59119.92359768785,64026.89663398497,56131.72330507471,65360.82461805872,72400.74908322447,80135.11771393873,79490.05151453207,75995.96301491941,70232.91781410029,67349.31688124027,71544.53635515508,74831.5345884721,73320.05476355806,64824.65500685348,83170.90880759139
CH,Switzerland,33933.35882781695,33704.67532121415,32714.76525338223,34098.51983654365,35150.92156021211,38050.227652664566,40251.025122123356,41310.90673620073,40295.95474955441,40899.751617353446,42289.67868150777,44255.63273461525,45081.47549198193,48657.36595722106,50204.97413969318,56881.18489509674,64838.7700193924,67132.05413378973,66844.96462577542,68892.24205880778,78637.24442345885,78163.6102200194,77410.74353630614,77225.70739020716,81014.529592835,81576.47678807723,85079.06432730894
