Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
73905,Rast,0,0,0,0,0,0,0,0,0
147633,Oras Cajvana,0,0,1.36E+07,0,0,0,0,0,0
131256,Municipiul Campina,9.21E+07,3.37E+07,1.11E+07,534651,1.25E+07,1.36E+09,1.22E+07,1.03E+08,2.88E+07
32955,Ciceu-Giurgesti,0,0,0,0,0,0,0,0,0
106684,Oras Baia Sprie,1.12E+08,2929664,6208102,0,180380,0,0,414614,3941544
24766,Racaciuni,1736905,0,15391,0,292141,266165,0,0,0
73923,Robanesti,2215527,0,0,0,0,0,0,0,0
155840,Bethausen,0,13179,0,0,0,0,0,0,0
98505,Popricani,672351,29306,0,0,1800761,0,0,0,0
131274,Poiana Campina,0,0,48474,0,630059,3552738,0,0,0
57546,Dabaca,29525,0,63155,0,0,0,0,0,0
147660,Ilisesti,610725,0,0,0,0,0,0,0,0
41177,Hoghiz,403451,0,0,0,0,0,0,0,0
65752,Petresti,0,9588,0,0,0,0,0,1360263,0
82136,Stanesti,445983,0,0,4450,0,0,0,0,0
164062,Garceni,0,0,0,0,0,0,0,0,0
123102,Ion Creanga,470615,530353,0,0,0,300021,0,0,0
16613,Harsesti,0,13047,0,0,0,0,0,0,0
90342,Orastioara De Sus,0,0,33630,0,0,0,0,0,0
8425,Vidra,1297054,0,0,0,0,0,0,0,0
114925,Municipiul Tarnaveni,6652054,1.41E+07,697130,0,0,4.84E+07,0,1106784,36333
57582,Feleacu,3320295,990,196967,0,0,0,15850,2814875,861107
172279,Pesceana,0,0,0,0,0,0,0,0,0
33015,Chiochis,0,213063,0,0,0,0,0,0,0
106746,Oras Borsa,5812286,132418,3.13E+07,0,0,0,0,4910153,0
147713,Carlibaba,0,0,414513,0,0,0,0,0,0
24837,Rachitoasa,0,0,145158,0,0,0,0,0,0
155911,Biled,136771,0,0,0,0,1.96E+07,0,0,0
131336,Oras Comarnic,7404386,1332984,3194838,0,865801,290911,0,0,0
73996,Sadova,43344,69434,0,0,0,0,0,0,0
16659,Hartiesti,0,0,0,0,0,0,0,0,0
114970,Acatari,0,1186773,0,0,0,167148,0,5298267,0
49439,Scutelnici,3178457,0,0,0,0,108342,0,0,0
106782,Oras Cavnic,2135705,404888,3027101,0,0,0,0,0,0
41248,Homorod,0,0,0,0,0,0,0,0,0
123175,Margineni,15438,0,361560,0,0,0,0,0,0
164133,Grivita,82140,34882,0,0,0,0,0,0,0
98603,Prisacani,0,0,185663,0,0,0,0,0,0
57644,Fizesu Gherlii,0,0,0,0,0,0,0,0,0
74028,Salcuta,0,0,0,0,0,0,0,0,0
65841,Municipiul Moreni,2166032,2.21E+07,1265466,0,0,1.26E+07,5725,854933,0
172340,Pietrari,1.47E+07,0,0,0,0,0,0,0,0
155957,Barna,0,0,0,0,0,0,0,0,0
90431,Pestisu Mic,0,6280714,0,0,0,0,0,0,0
106817,Oras Targu Lapus,3482517,1990454,1.89E+07,0,0,0,0,4.27E+08,0
82243,Stejari,849515,0,0,0,0,0,0,0,0
41284,Jibert,195901,0,0,0,0,0,0,0,0
147786,Cornu Luncii,2.75E+07,0,2.39E+07,0,0,0,0,1123636,0
49484,Siriu,0,0,824084,0,0,0,0,0,0
65869,Iedera,0,0,19720,0,0,0,0,0,0
131407,Oras Mizil,1.55E+08,3.38E+07,7820,0,0,2395644,0,1138609,686
74073,Scaesti,0,0,0,0,0,0,0,0,0
98649,Probota,0,0,0,0,0,0,3504,0,0
172377,Popesti,0,0,60311,0,0,0,0,0,0
123228,Moldoveni,0,0,0,0,0,0,0,0,0
33122,Chiuza,0,0,1778575,0,0,0,0,0,0
16739,Izvoru,0,0,0,0,0,0,0,0,0
164197,Hoceni,0,0,0,0,0,0,0,0,0
57706,Floresti,5.85E+07,2.20E+07,3538295,1.26E+07,0,6689194,1519046,2624944,3998
131443,Oras Plopeni,2.02E+07,9649687,397266,0,0,8231636,0,781363,0
16757,Leordeni,0,4521771,506614,0,291822,0,0,0,0
123255,Oniceni,0,0,237786,0,0,0,0,0,0
98685,Raducaneni,942055,470738,95417,0,0,0,0,0,0
74108,Seaca De Camp,0,0,0,0,0,0,0,0,0
65921,Oras Pucioasa,5652198,2.60E+08,0,4916471,0,800225,1805638,5019254,0
156035,Bogda,0,0,0,0,0,0,0,0,0
41346,Lisa,0,0,865737,0,0,0,0,0,0
115076,Adamus,0,0,613261,0,0,0,0,0,0
