Indicatori,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
PopScolara,-0.7777141424710245,-0.09818725193769222,0.3869469602312129,-0.12872011660018629,-0.06026497931002963,0.3378149734384423,0.09302124474256991,-0.014234122082328056,-0.07619756567956013,-0.013767795797566913,0.0913732714377798,-0.01859209635347421,-0.08459127933290377,-0.033896515301614846,-0.006042294421980428,-0.09528421129555546,0.036506942944445286,-0.05463274509733303,0.11849531474311596,-0.002796387906831158,0.0730184023516499,-0.07734884730317025,0.043904695222096175,0.08531273555581771,0.05648945896843047,-0.09102296187367877,-0.08988720391436412,0.03928163381126551,-0.005631401854795029,0.00230866161200421,0.02198304162811651
PaturiUS,-0.7152830787565595,-0.2698268351991129,0.30418313601471764,0.21339936257771752,-0.06003215460729774,0.25952932126945133,-0.2076454274628263,-0.15870644120590716,-0.14136289618359293,0.08549392875664297,0.08979347532023062,0.05228140244757701,-0.031421446297255504,-0.12687152269262,-0.0629881270266987,0.01995333754947742,-0.1996209991010171,0.03897256889396944,-0.029622602601790858,0.013077672938116201,0.040161276386438786,0.0741082619375532,-0.08892510285744923,-0.01035505906126752,0.07924074648866165,0.11625861152207151,0.01492476736479093,0.0072488048615672205,-0.020443740840965046,-0.0032324637650955174,0.02569777770153522
Medici,-0.8096636796446738,0.07792948442030259,0.18700016189156432,0.15853970356292654,-0.10444900348209968,0.2799465830635469,0.014837316814389661,0.0053615332344350425,-0.17503043539395732,-0.00988583127308992,0.16975326172744568,-0.05906683858326816,-0.09911515676606036,-0.07757542668947834,0.08696976488211483,0.12578680052694927,-0.18776369270333707,-0.020708786341371535,0.07860254982013411,-0.05367663794125327,-0.12592345329131402,0.1182186197711265,0.03908162068598512,0.0079900925243263,-0.030648392146430392,-0.08591433069847851,0.02451399435376889,-0.0149313112755517,-0.006665933665851327,3.302909375720908e-05,-0.03342002025221711
VolumeB,-0.7068878961594027,-0.20233163145038358,0.4324082020161154,0.11673517560135972,-0.3142175105261835,0.1952642174381306,0.050847256587051824,-0.02383635235772075,0.09860984478440923,0.19254322891142545,0.059692840543047555,-0.004763215560845329,-0.07109669995291541,0.08141114787429901,-0.02611640292594728,-0.03843792556443766,0.03136307502320412,0.05914064934687405,-0.0690001886341512,0.0016164893919901036,0.10937719620192168,-0.14080391724088828,-0.0727420563185429,0.004711744876379527,-0.05833528169110072,0.003520449582579837,0.040249010301120956,-0.025857937533803603,0.0025820671948358345,0.03892018377433556,-0.030906749515735948
SpectatoriS,-0.5401547060022759,-0.34754878533847855,0.11953968698316401,-0.1211002258368837,0.38892227214878333,0.06193448848294785,0.2849896326240785,0.3339067928024544,0.11791176311255726,0.22248800494401183,-0.02740636356458698,0.25663788461506476,0.1752497804125039,0.008934729107137624,-0.01803177735000538,-0.019305244891212527,-0.06968999528280677,0.12674416889160456,-0.045326886000731405,0.042318021306813995,0.017036668656982324,0.06557784316005925,0.11609937469824808,-0.027819064664058667,0.00981956345810489,0.04463844382843278,-0.051592797884522486,0.0011850158976397427,0.014441502560920349,0.020687901912162673,-0.013097755895449658
VizitatoriM,-0.4752325468085636,-0.4682202479633778,-0.06676054629479301,-0.2859013061150222,0.5039885638366074,-0.17857096934438074,0.19113240628641007,0.15516995523448893,0.030916793139986316,0.03965768354187548,0.157154200647333,0.18357893427599367,0.09983966104890928,0.03307244575759789,0.032695110645336554,0.10672458335343377,-0.009696981086386308,0.04461428206935491,0.060040231647150076,-0.00011152949615947327,-0.05329611996271544,-0.07151089543677404,-0.10377535542139134,0.0349648980270158,0.015535267726428659,-0.07338213799316284,0.06909191394015604,-0.024004129523282954,-0.024646162365162528,-0.01720832939932894,0.016205857103341555
SportiviL,-0.6148566474513875,-0.11383780351653654,-0.2672880631477407,0.12269847347559755,-0.21930087001323587,0.21288418550933855,-0.11414710090671737,0.25493433711609015,-0.24305459276093455,-0.08919996846541081,-0.2583953192714776,-0.1508916906657366,0.23794415361367294,0.13242982113481105,0.2726187499448118,0.14814309629402053,0.011567597674596402,0.004733699060381443,-0.13089407908969303,-0.019264272071821093,-0.0333882604130036,-0.036498156548032686,-0.020721730097294853,-0.024682913930748476,0.0168966072331241,-0.015446876389480174,-0.03674991367409537,-0.014383307778314479,-0.014278352381268204,0.019343936121430615,0.016249459995719993
PIB,-0.8975936089216928,0.05931642665274467,-0.05969182054629565,0.22670638338000937,-0.16725556166042344,-0.02480869348912707,0.04314186586304547,-0.009908923751794562,0.022691594771186777,0.17138135984539365,-0.02652825897376413,-0.04222299776190967,-0.04679651919713281,0.0661937820839169,-0.1155378651286742,0.06847167500116268,0.07785481538734879,0.015883397047574205,-0.06994215297766927,0.11253979211382772,-0.08593200069471751,-0.0640374827692872,0.017910655357507424,0.03782853221338194,0.023932717586779628,0.03566968519646633,-0.04931837392417742,-0.041215925146371304,-0.009964050748152023,-0.06981240604350702,-0.01613366497572253
SalariatiC,-0.7830813294969402,0.34649338284099884,-0.0800908462432866,-0.041093777764687395,-0.0572753804872244,-0.2517696990402078,-0.0063695306026695575,0.22902802108690215,0.1857222382815314,0.14633067499603053,-0.018980264035419546,0.07186341743764554,-0.03567061458530939,-0.07976725856515238,-0.05311158962554696,0.06894441710125661,-0.00943727725939102,-0.06667686159554617,-0.004816768831105994,-0.12488885825995252,0.06782969140348015,0.035509538495692924,-0.11754419442973955,-0.10772471230294144,-0.05118936452543517,-0.03111862293130341,-0.0684973960454556,0.05221097885338901,-0.009074211311759502,-0.016529595354316973,-0.00446783332035308
PAgrVeg,0.6907724792080743,0.05286137940542092,-0.029325702161112202,0.35165084972390026,-0.13356786089117523,0.28458648755765803,0.12331807927205514,0.2565715132077822,-0.16236193846514413,0.06563149634780618,0.11847326593485279,-0.057156071830628985,0.10085104175728296,-0.25478374768995354,0.034337306322054506,-0.13886498201731678,0.028265772831169374,0.215688806956614,0.024231193002120465,0.0980674447909317,-0.024863053881580527,-0.005720455933573123,-0.05838452968735964,-0.02528140978287364,-0.08321514066368602,-0.03433782269301098,-0.005721975288943664,0.0011344032280990203,0.03465529131681592,-0.019149874528793475,0.014331456281117006
