Siruta,Localitate,Activitate
11307,Ignesti,Lemnului
35884,Stauceni,Alimentara
125999,Brebeni,Lemnului
134194,Manesti,Lemnului
93236,Cosambesti,Lemnului
158779,Sag,Lemnului
150588,Udesti,Alimentara
85056,Meresti,Lemnului
60482,Municipiul Mangalia,ConstructiiMasini
117827,Oras Iernut,Alimentara
126022,Brancoveni,Alimentara
44113,Surdila-Gaiseanca,Alimentara
101458,Oras Budesti,Lemnului
85074,Mihaileni,Textila
158804,Stiuca,Lemnului
11352,Iratosu,Lemnului
142426,Romanasi,Lemnului
60507,Oras Navodari,ChimicaFarmaceutica
93281,Cuza Voda,Mobila
35946,Oras Darabani,Alimentara
44140,Sutesti,Lemnului
27757,Brusturi,Alimentara
60534,Oras Techirghiol,Alimentara
167035,Vutcani,Alimentara
175224,Barsesti,Lemnului
126077,Bucinisu,Textila
11398,Macea,Mobila
85127,Mugeni,Alimentara
158859,Teremia Mare,Alimentara
101519,Bulbucata,ConstructiiMasini
126102,Cezieni,Alimentara
60570,Agigea,Lemnului
167071,Zapodeni,Alimentara
11423,Misca,ChimicaFarmaceutica
142499,Rus,Lemnului
117925,Livezeni,Alimentara
36006,Municipiul Dorohoi,Textila
76969,Pechea,ConstructiiMasini
44202,Traian,Lemnului
150702,Ulma,Alimentara
158895,Tomesti,Lemnului
19631,Valea Danului,Mobila
68789,Salcioara,Alimentara
60598,23 August,ConstructiiMasini
93370,Dor Marunt,Alimentara
134336,Pacureti,Alimentara
76996,Piscu,Mobila
27846,Budureasa,Alimentara
109773,Municipiul Drobeta-Turnu Severin,ChimicaFarmaceutica
11478,Moneasa,Mobila
126166,Carlogani,Alimentara
60632,Limanu,ConstructiiMasini
36060,Oras Saveni,Textila
44257,Tudor Vladimirescu,Lemnului
77028,Priponesti,ChimicaFarmaceutica
150766,Vadu Moldovei,Mobila
11502,Olari,Textila
19695,Valea Iasului,Lemnului
117998,Lunca,Alimentara
101617,Buturugeni,Energetica
134390,Plopu,Alimentara
158966,Topolovatu Mare,ConstructiiMasini
85243,Ocland,Lemnului
93441,Dorobantu,Lemnului
109826,Simian,Textila
167179,Zorleni,Textila
175368,Bolotesti,Alimentara
60687,Oras Ovidiu,ConstructiiMasini
11539,Paulis,Lemnului
142612,Sag,Lemnului
77082,Rediu,Alimentara
27935,Bulz,Alimentara
101662,Calugareni,Alimentara
44328,Ulmu,Alimentara
85289,Plaiesii De Jos,Lemnului
134443,Podenii Noi,Textila
118058,Lunca Bradului,Lemnului
93487,Dragalina,Mobila
60721,Tuzla,ConstructiiMasini
68921,Tatarani,Lemnului
159035,Tormac,Alimentara
11584,Oras Pecica,Textila
27971,Buntesti,Lemnului
3397,Blandiana,Lemnului
175439,Bordesti,Textila
118094,Magherani,Lemnului
19793,Vedea,Mobila
85341,Praid,Lemnului
101724,Cascioarele,Textila
159071,Traian Vuia,Alimentara
77153,Schela,Lemnului
109924,Oras Baia De Arama,Lemnului
44391,Vadeni,Alimentara
60776,Oras Cernavoda,Lemnului
175466,Brosteni,Lemnului
150891,Valea Moldovei,Lemnului
36202,Avrameni,Alimentara
101742,Cernica,Alimentara
142710,Somes-Odorhei,Textila
167286,Dodesti,Lemnului
126326,Corbu,Mobila
77180,Slobozia Conachi,Alimentara
167295,Feresti,Textila
60801,Oras Harsova,Metalurgica
3459,Bucium,Lemnului
167302,Muntenii De Sus,Textila
93575,Facaeni,Alimentara
167311,Pochidia,Alimentara
150935,Vama,Lemnului
167320,Puscasi,Textila
134559,Poienarii Burchii,Lemnului
93600,Gheorghe Doja,Textila
159142,Uivar,Textila
85412,Remetea,Alimentara
77224,Smardan,Alimentara
52650,Doclin,Lemnului
28077,Cabesti,Textila
101804,Chirnogi,ConstructiiMasini
44462,Visani,Alimentara
60847,Municipiul Medgidia,Alimentara
142774,Surduc,Mobila
93628,Gheorghe Lazar,Alimentara
101822,Chiselet,Alimentara
150980,Vatra Moldovitei,Lemnului
126406,Crampoia,Textila
110027,Obarsia-Closani,Lemnului
36300,Baluseni,Lemnului
93646,Giurgeni,Lemnului
101840,Ciocanesti,CalculatoareElectronica
126433,Curtisoara,Lemnului
93664,Gradistea,Alimentara
175590,Ciorasti,Alimentara
151022,Veresti,ConstructiiMasini
110063,Municipiul Orsova,ConstructiiMasini
159213,Varias,Lemnului
44532,Zavoaia,Alimentara
134648,Posesti,Textila
77313,Tudor Vladimirescu,Mobila
118281,Oras Miercurea Nirajului,Alimentara
101902,Ciolpani,ConstructiiMasini
44560,Cazasu,Textila
60945,Albesti,Mobila
77331,Tulucesti,Alimentara
93717,Grindu,Alimentara
52758,Ezeris,ConstructiiMasini
85528,Sarmas,Lemnului
159259,Victor Vlad Delamarina,Alimentara
19999,Vladesti,Alimentara
28193,Carpinet,Mobila
142881,Sarmasag,Alimentara
110116,Oras Strehaia,Alimentara
93735,Grivita,Lemnului
126503,Cungrea,ConstructiiMasini
151077,Vicovu De Jos,Textila
52785,Farliug,Alimentara
167473,Municipiul Ramnicu Valcea,Alimentara
175670,Campuri,Lemnului
151095,Oras Vicovu De Sus,Textila
77377,Tepu,Alimentara
101957,Ciorogarla,Textila
85582,Secuieni,Alimentara
20048,Raca,Lemnului
151120,Volovat,Lemnului
28246,Cefa,ConstructiiMasini
20055,Vulturesti,Lemnului
118370,Mihesu De Campie,Alimentara
36453,Oras Bucecea,Alimentara
159339,Voiteg,Lemnului
142952,Valcau De Jos,Lemnului
93815,Jegalia,Mobila
175732,Carligele,Alimentara
85626,Siculeni,Alimentara
69250,Vacaresti,Alimentara
159366,Birda,Lemnului
61069,Oras Baneasa,Alimentara
102035,Clinceni,Alimentara
36499,Calarasi,Alimentara
110232,Oras Vanju Mare,Alimentara
159384,Dudestii Noi,Lemnului
77475,Valea Marului,Alimentara
159393,Fibis,Alimentara
175787,Corbita,Lemnului
52909,Garnic,Alimentara
28335,Ceica,Textila
85680,Sancraieni,Alimentara
36532,Concesti,Mobila
69303,Valeni-Dambovita,Alimentara
126647,Deveselu,ChimicaFarmaceutica
159419,Gottlob,Lemnului
93888,Oras Lehliu Gara,Alimentara
61121,Castelu,Mobila
118469,Nades,ConstructiiMasini
52936,Glimboca,Lemnului
151246,Zamostea,Lemnului
159437,Parta,ConstructiiMasini
159446,Padureni,Alimentara
110296,Bala,Alimentara
11995,Seleus,Lemnului
102106,Comana,Alimentara
167641,Oras Baile Govora,Lemnului
159464,Sandra,Alimentara
134899,Provita De Sus,Mobila
159473,Tomnatic,Lemnului
159482,Valcani,Alimentara
28415,Cetariu,Lemnului
126718,Dobrosloveni,Alimentara
85760,Sandominic,Lemnului
175885,Cotesti,Alimentara
102160,Corbeanca,Textila
44818,Municipiul Buzau,Alimentara
167696,Oras Baile Olanesti,Alimentara
12055,Sintea Mare,Textila
61210,Chirnogeni,Energetica
134942,Puchenii Mari,Alimentara
85788,Sanmartin,Alimentara
53023,Iablanita,Lemnului
159525,Otelec,Alimentara
36649,Cordareni,Lemnului
93995,Mihail Kogalniceanu,Alimentara
44845,Municipiul Ramnicu Sarat,Energetica
118575,Ogra,Textila
151344,Zvoristea,Alimentara
126772,Dobroteasa,Alimentara
12091,Oras Santana,Alimentara
175938,Dumbraveni,Alimentara
102213,Cornetu,Alimentara
20297,Municipiul Bacau,Alimentara
53069,Lapusnicel,Lemnului
28497,Cherechiu,Alimentara
85840,Sansimion,Lemnului
20313,Hemeius,ConstructiiMasini
94045,Milosesti,Textila
12126,Socodor,Mobila
102240,Cosereni,Alimentara
175983,Dumitresti,Lemnului
135020,Rafov,Lemnului
12144,Sagu,Mobila
167794,Oras Brezoi,Lemnului
28530,Chislaz,Textila
85877,Subcetate,Lemnului
159614,Municipiul Tulcea,ConstructiiMasini
44934,Balta Alba,Alimentara
61318,Cobadin,Alimentara
20359,Letea Veche,ConstructiiMasini
53130,Luncavita,Textila
151433,Comanesti,Lemnului
102286,Crevedia,Textila
151442,Iaslovat,Alimentara
69526,Voinesti,Lemnului
151451,Ciocanesti,Lemnului
94107,Munteni-Buzau,Textila
159650,Oras Babadag,Mobila
85920,Suseni,Lemnului
118691,Panet,Alimentara
151460,Serbauti,Alimentara
4008,Ciuruleasa,Lemnului
12206,Seitin,Lemnului
53167,Lupac,Alimentara
151479,Horodnic De Sus,Lemnului
126905,Fagetelu,Alimentara
20411,Magura,ChimicaFarmaceutica
61372,Cogealac,Alimentara
44989,Balaceanu,Alimentara
12224,Sepreus,Textila
28610,Ciuhoi,Lemnului
151488,Fantana Mare,Alimentara
159687,Oras Isaccea,Lemnului
36809,Cotusca,Alimentara
45003,Beceni,Alimentara
151497,Cosna,Lemnului
102348,Crevedia Mare,Alimentara
151503,Capu Campului,Lemnului
94161,Perieti,Lemnului
12242,Sicula,Lemnului
53210,Marga,Lemnului
151512,Hantesti,Lemnului
118753,Pasareni,Alimentara
85984,Simonesti,Lemnului
167909,Oras Calimanesti,Lemnului
135146,Salciile,Energetica
151530,Balaceana,Alimentara
69615,Vulcana-Bai,Mobila
159730,Oras Macin,Textila
20466,Margineni,Mobila
77812,Municipiul Targu Jiu,Energetica
28665,Ciumeghiu,Alimentara
135164,Scorteni,Textila
151549,Hartop,Textila
12288,Silindia,Lemnului
151558,Voitinel,Textila
151567,Ciprian Porumbescu,Lemnului
118799,Petelea,Mobila
159767,Oras Sulina,Alimentara
53274,Mehadia,Lemnului
151576,Berchisesti,Alimentara
28709,Campani,Alimentara
118824,Pogaceaua,Alimentara
127019,Farcasele,Alimentara
159785,Baia,Alimentara
45101,Berca,Alimentara
4142,Cricau,ChimicaFarmaceutica
102446,Daia,Textila
167981,Municipiul Dragasani,ConstructiiMasini
12340,Simand,Mobila
135226,Secaria,Alimentara
94269,Reviga,Alimentara
102473,Dascalu,Lemnului
61513,Corbu,ChimicaFarmaceutica
53327,Mehadica,Lemnului
12368,Siria,CalculatoareElectronica
20563,Municipiul Onesti,ChimicaFarmaceutica
176212,Garoafa,Alimentara
77910,Balesti,Alimentara
143450,Municipiul Sibiu,ConstructiiMasini
127064,Ganeasa,Alimentara
28763,Cociuba Mare,Alimentara
4188,Craciunelu De Jos,Alimentara
94312,Roseti,Alimentara
168041,Oras Horezu,Alimentara
12402,Sistarovat,Alimentara
86133,Tulghes,Lemnului
61559,Crucea,Energetica
53372,Obreja,Alimentara
102525,Darasti-Ilfov,Mobila
143487,Cristian,ConstructiiMasini
151683,Municipiul Turnu Magurele,ChimicaFarmaceutica
143502,Poplaca,Alimentara
102543,1 Decembrie,Alimentara
4240,Daia Romana,Textila
28816,Copacel,Alimentara
135315,Starchiojd,Alimentara
118931,Rastolita,Lemnului
37011,Dersca,Alimentara
110740,Breznita-Motru,Alimentara
151709,Ciuperceni,Alimentara
143520,Rasinari,Textila
12457,Taut,Lemnului
94376,Saveni,Mobila
127144,Gostavatu,Textila
102570,Domnesti,Energetica
86188,Tusnad,Alimentara
176301,Gugesti,Lemnului
61620,Cumpana,Alimentara
151736,Islaz,Lemnului
37057,Dangeni,Lemnului
78016,Dragutesti,Alimentara
127171,Gradinari,ChimicaFarmaceutica
143557,Selimbar,ChimicaFarmaceutica
159945,Carcaliu,Alimentara
102605,Dragomiresti-Vale,Alimentara
86222,Ulies,Lemnului
176338,Gura Calitei,Lemnului
151763,Lita,Alimentara
118995,Raciu,ConstructiiMasini
28889,Cristioru De Jos,Mobila
159963,Casimcea,Energetica
12509,Tarnova,Alimentara
110820,Breznita-Ocol,Alimentara
151790,Municipiul Alexandria,ConstructiiMasini
135404,Surani,Alimentara
102641,Dragoesti,ConstructiiMasini
53489,Coronini,Alimentara
143619,Municipiul Medias,ConstructiiMasini
135431,Sirna,ConstructiiMasini
78089,Turcinesti,Textila
151816,Nanov,Alimentara
28941,Curatele,Lemnului
69900,Municipiul Craiova,ConstructiiMasini
4366,Galda De Jos,Alimentara
127251,Ianca,Alimentara
151834,Poroschia,Alimentara
110875,Brosteni,Lemnului
143646,Tarnava,Mobila
86311,Varsag,Lemnului
168229,Alunu,Alimentara
61737,Dobromir,Mobila
20778,Oras Buhusi,Alimentara
102703,Dridu,Textila
37173,Draguseni,Textila
127288,Iancu Jianu,Alimentara
78141,Municipiul Motru,Alimentara
151870,Municipiul Rosiori De Vede,Alimentara
176445,Homocea,Alimentara
143682,Oras Agnita,Textila
86339,Voslabeni,Lemnului
29001,Curtuiseni,Textila
53577,Prigor,Lemnului
69964,Bucovat,Textila
135501,Soimari,Textila
20821,Oras Comanesti,Lemnului
102749,Oras Fierbinti-Targ,Alimentara
86366,Zetea,Mobila
12643,Vinga,Textila
94562,Stefan Cel Mare,Alimentara
151905,Oras Videle,Alimentara
29038,Derna,Textila
119153,Rusii-Munti,Textila
94580,Stefan Voda,Alimentara
143735,Oras Cisnadie,ConstructiiMasini
176506,Jaristea,Alimentara
135547,Sotrile,Lemnului
160127,Cerna,Alimentara
4482,Garbova,Alimentara
61826,Ghindaresti,ChimicaFarmaceutica
53639,Ramna,Lemnului
127368,Izbiceni,Mobila
102794,Floresti-Stoenesti,ChimicaFarmaceutica
20876,Municipiul Moinesti,Alimentara
94606,Ulmu,Mobila
12689,Varfurile,Lemnului
143771,Oras Copsa Mica,Metalurgica
111006,Butoiesti,Alimentara
37280,Oras Flamanzi,Alimentara
29092,Diosig,Textila
86438,Madaras,Alimentara
119206,Saschiz,Lemnului
151978,Oras Zimnicea,ChimicaFarmaceutica
4525,Garda De Sus,Lemnului
20910,Oras Slanic-Moldova,Lemnului
61871,Independenta,Alimentara
86446,Cozmeni,Lemnului
78258,Oras Novaci,Alimentara
168372,Oras Babeni,Alimentara
45496,Bradeanu,Alimentara
94651,Unirea,ChimicaFarmaceutica
86461,Ciceu,Lemnului
143806,Oras Dumbraveni,Alimentara
135618,Stefesti,Lemnului
53700,Eftimie Murgu,Lemnului
119242,Oras Sarmasu,Mobila
37324,Frumusica,Alimentara
86479,Leliceni,Mobila
70094,Isalnita,Alimentara
86487,Porumbeni,Alimentara
86495,Racu,Lemnului
70110,Podari,Textila
53728,Rusca Montana,Alimentara
29154,Dobresti,Alimentara
45539,Braesti,Lemnului
86501,Satu Mare,Lemnului
152038,Babaita,Alimentara
20965,Oras Targu Ocna,Mobila
176613,Maicanesti,Alimentara
143851,Oras Ocna Sibiului,Mobila
12778,Zabrani,Alimentara
86519,Santimbru,Lemnului
78329,Oras Targu Carbunesti,Lemnului
111097,Cazanesti,Energetica
102909,Fratesti,Alimentara
61951,Ion Corvin,Alimentara
127493,Maruntei,Alimentara
168452,Oras Balcesti,Alimentara
94731,Valcelele,Alimentara
12812,Zarand,Lemnului
21007,Agas,Lemnului
152083,Blejesti,Alimentara
53791,Sasca Montana,Alimentara
70174,Simnicu De Sus,ConstructiiMasini
102945,Frumusani,Alimentara
119331,Oras Sangeorgiu De Padure,Mobila
176686,Mera,Alimentara
135725,Teisani,Lemnului
45619,Breaza,Alimentara
29243,Draganesti,Alimentara
160323,Dorobantu,Metalurgica
12876,Zimandu Nou,ConstructiiMasini
143959,Arpasu De Jos,Alimentara
119386,Sanger,Mobila
53853,Sichevita,Lemnului
4703,Hoparta,Lemnului
21098,Ardeoani,ConstructiiMasini
168559,Barbatesti,Lemnului
152172,Botoroaga,Lemnului
176748,Milcovul,Lemnului
135789,Telega,Alimentara
12912,Dorobanti,Alimentara
78454,Oras Ticleni,Alimentara
12920,Frumuseni,Alimentara
103032,Oras Fundulea,ChimicaFarmaceutica
160387,Frecatei,Alimentara
21123,Asau,Alimentara
127625,Morunglav,Textila
78472,Albeni,ChimicaFarmaceutica
12938,Zadareni,Lemnului
168602,Oras Berbesti,Lemnului
176793,Movilita,Alimentara
29341,Dragesti,Alimentara
86687,Municipiul Deva,ConstructiiMasini
4767,Horea,Lemnului
152234,Bragadiru,Alimentara
111275,Corcova,ConstructiiMasini
37547,Havarna,Lemnului
119466,Sanpaul,ConstructiiMasini
160430,Greci,Alimentara
70316,Municipiul Bailesti,Textila
144054,Oras Avrig,ConstructiiMasini
45753,Calvini,Alimentara
62137,Mereni,Alimentara
127689,Movileni,Lemnului
21196,Balcani,Alimentara
152270,Bujoreni,Lemnului
78542,Alimpesti,Alimentara
70352,Municipiul Calafat,Textila
176855,Nanesti,Lemnului
135896,Tomsani,Alimentara
29403,Finis,Alimentara
103130,Ganeasa,Alimentara
168675,Berislavesti,ChimicaFarmaceutica
119527,Sanpetru De Campie,Lemnului
62191,Mihail Kogalniceanu,Alimentara
144116,Axente Sever,Alimentara
45815,C.a. Rosetti,Alimentara
152314,Bujoru,Alimentara
176891,Naruja,Lemnului
21249,Beresti-Bistrita,Alimentara
78604,Aninoasa,Alimentara
152332,Buzescu,Mobila
70414,Oras Filiasi,Alimentara
135949,Valea Calugareasca,Alimentara
144152,Bazna,Alimentara
29467,Girisu De Cris,Mobila
103194,Gaujani,Lemnului
86810,Municipiul Hunedoara,Metalurgica
152350,Calinesti,Mobila
119590,Solovastru,Mobila
54056,Slatina-Timis,Alimentara
168755,Boisoara,Lemnului
176944,Nereju,Lemnului
4927,Ighiu,Alimentara
45888,Canesti,Mobila
144198,Biertan,ChimicaFarmaceutica
127812,Oboga,Textila
103238,Ghimpati,Lemnului
62280,Mircea Voda,Alimentara
119625,Stanceni,Lemnului
29519,Hidiselu De Sus,Alimentara
95060,Municipiul Iasi,ConstructiiMasini
168791,Budesti,Lemnului
21338,Beresti-Tazlau,Lemnului
152412,Calmatuiu,Alimentara
86883,Ghelari,Textila
70502,Oras Segarcea,Alimentara
177003,Nistoresti,Lemnului
144232,Barghis,Lemnului
160617,Jijila,Textila
13169,Municipiul Pitesti,ConstructiiMasini
95088,Barnova,Textila
78711,Baia De Fier,Lemnului
70520,Afumati,Alimentara
111480,Devesel,Alimentara
13187,Bascov,ConstructiiMasini
29573,Holod,Mobila
160644,Jurilovca,Alimentara
37770,Hudesti,Mobila
152467,Calmatuiu De Sus,Alimentara
62360,Oras Murfatlar,Alimentara
86936,Teliucu Inferior,ChimicaFarmaceutica
127901,Optasi-Magura,Textila
78748,Balanesti,Alimentara
70566,Almaj,ChimicaFarmaceutica
136107,Valea Doftanei,Lemnului
21418,Berzunti,Lemnului
119723,Suseni,Textila
160680,Luncavita,Mobila
144303,Blajel,Alimentara
168880,Bujoreni,Mobila
95159,Holboca,Textila
152500,Cervenia,Alimentara
62397,Oras Negru Voda,Lemnului
37823,Ibanesti,Mobila
111550,Darvari,Lemnului
46019,Cernatesti,Mobila
136134,Varbilau,ChimicaFarmaceutica
119750,Saulia,Alimentara
21454,Barsanesti,Lemnului
86990,Municipiul Petrosani,Energetica
177101,Paltin,Lemnului
160724,Mahmudia,Alimentara
13276,Bradu,Mobila
144349,Brateiu,ConstructiiMasini
62440,Nicolae Balcescu,Alimentara
70637,Amarastii De Jos,Alimentara
78828,Barbatesti,Alimentara
103407,Gradinari,Lemnului
127983,Osica De Sus,Alimentara
5103,Jidvei,Textila
13301,Oras Mioveni,ConstructiiMasini
54270,Teregova,Lemnului
21506,Blagesti,Textila
168960,Bunesti,Lemnului
136198,Valcanesti,ConstructiiMasini
95239,Rediu,Mobila
87059,Municipiul Lupeni,Textila
103443,Gradistea,Lemnului
78873,Bengesti-Ciocadia,Lemnului
144410,Bruiu,Mobila
54305,Ticvaniu Mare,Lemnului
87077,Oras Petrila,Mobila
152617,Crangeni,Mobila
5167,Livezile,Alimentara
136241,Cocorastii Colt,Lemnului
13365,Maracineni,ConstructiiMasini
128052,Perieti,Textila
21560,Bogdanesti,Alimentara
95293,Tomesti,Alimentara
160831,Mihai Bravu,Alimentara
29760,Lazuri De Beius,Energetica
37958,Manoleasa,Lemnului
70726,Apele Vii,Alimentara
169039,Cernisoara,Lemnului
136269,Vadu Sapat,Mobila
13392,Oras Stefanesti,Alimentara
136278,Batrani,Lemnului
152662,Crangu,Alimentara
177236,Paunesti,Mobila
119894,Oras Ungheni,Mobila
103513,Gruiu,ConstructiiMasini
70744,Argetoaia,Textila
5210,Lopadea Noua,Alimentara
21597,Brusturoasa,Lemnului
87139,Oras Uricani,Lemnului
46180,Chiojdu,Lemnului
128105,Oras Piatra-Olt,Alimentara
160877,Mihail Kogalniceanu,Energetica
54387,Toplet,Alimentara
29813,Lazareni,Textila
95355,Oras Harlau,Energetica
144508,Carta,Lemnului
87175,Municipiul Vulcan,Textila
54412,Turnu Ruieni,Lemnului
62609,Pantelimon,Alimentara
152724,Didesti,Mobila
79004,Balteni,Alimentara
169119,Caineni,Lemnului
95391,Municipiul Pascani,Alimentara
21668,Buhoci,Lemnului
111783,Garla Mare,Alimentara
119974,Valea Larga,Alimentara
46251,Cilibia,Lemnului
144553,Darlos,Textila
38063,Mihai Eminescu,Alimentara
13490,Municipiul Campulung,ConstructiiMasini
87219,Oras Aninoasa,Mobila
152760,Dobrotesti,Alimentara
5309,Lunca Muresului,Alimentara
177352,Pufesti,Mobila
29902,Lugasu De Jos,Alimentara
62672,Pecineaga,ConstructiiMasini
13524,Valea Mare Pravat,Lemnului
54485,Valiug,Lemnului
144599,Gura Raului,Lemnului
5336,Lupsa,Alimentara
21720,Casin,Lemnului
128221,Plesoiu,Alimentara
70879,Oras Bechet,Textila
160993,Nalbant,Energetica
144615,Hoghilag,Lemnului
46313,Cislau,Textila
95471,Oras Targu Frumos,Alimentara
111863,Gogosu,Lemnului
87291,Municipiul Brad,Textila
29948,Lunca,Energetica
21757,Caiuti,Lemnului
177405,Racoasa,Lemnului
144651,Iacobeni,Lemnului
161035,Niculitel,Alimentara
103693,Iepuresti,Lemnului
120076,Vargata,Mobila
38161,Mihaileni,Alimentara
161053,Nufaru,Lemnului
136483,Municipiul Satu Mare,ConstructiiMasini
169253,Costesti,Lemnului
46377,Cochirleanca,Textila
62761,Poarta Alba,Alimentara
111916,Greci,Alimentara
79157,Borascu,Mobila
13622,Municipiul Curtea De Arges,CalculatoareElectronica
30014,Madaras,Textila
87362,Criscior,ConstructiiMasini
152902,Draganesti-Vlasca,Alimentara
120138,Vatava,Lemnului
144713,Jina,Alimentara
136526,Municipiul Carei,Alimentara
161106,Ostrov,Alimentara
103764,Ileana,Mobila
169306,Creteni,Alimentara
54617,Zavoi,Lemnului
144731,Laslea,Lemnului
21855,Cleja,Textila
13668,Oras Costesti,Alimentara
62823,Saraiu,Alimentara
136553,Capleni,Alimentara
30069,Magesti,Lemnului
128374,Oras Potcoava,Textila
87424,Oras Calan,Textila
79237,Branesti,Lemnului
169351,Daesti,Mobila
71055,Bradesti,Alimentara
46484,Costesti,ConstructiiMasini
136599,Oras Negresti-Oas,Mobila
177557,Ruginesti,Lemnului
144795,Loamnes,Alimentara
161179,Sarichioi,Lemnului
62878,Sacele,ChimicaFarmaceutica
54699,Zorlentu Mare,Alimentara
95667,Andrieseni,Alimentara
128436,Priseaca,Textila
62903,Seimeni,Alimentara
103862,Ion Roata,Mobila
13757,Oras Topoloveni,ConstructiiMasini
169404,Danicei,Alimentara
120254,Vanatori,ConstructiiMasini
136642,Oras Tasnad,ConstructiiMasini
177600,Sihlea,Lemnului
30149,Nojorid,Textila
5577,Metes,Lemnului
79308,Oras Bumbesti-Jiu,Alimentara
112076,Hinova,Textila
71126,Bralostita,Alimentara
128472,Radomiresti,Lemnului
103899,Izvoarele,Lemnului
177655,Slobozia Bradului,Alimentara
13819,Albestii De Arges,Lemnului
120316,Voivodeni,Textila
144893,Marpod,Alimentara
95747,Aroneanu,Alimentara
161286,Smardan,Alimentara
136713,Acas,Alimentara
128524,Redea,Alimentara
153106,Izvoarele,Alimentara
161302,Somova,Alimentara
87576,Oras Hateg,Alimentara
103960,Jilavele,Alimentara
144928,Oras Miercurea Sibiului,Textila
22059,Cotofanesti,Textila
128560,Rotunda,Alimentara
120370,Zau De Campie,Alimentara
103997,Joita,Alimentara
177726,Slobozia Ciorasti,Mobila
153151,Lunca,Alimentara
30274,Osorhei,Textila
5700,Mihalt,Alimentara
63045,Topalu,Alimentara
161348,Stejaru,Alimentara
128588,Rusanesti,Alimentara
87638,Municipiul Orastie,Alimentara
38492,Paltinis,Alimentara
71260,Breasta,Alimentara
144991,Micasasa,Lemnului
63072,Topraisar,ChimicaFarmaceutica
177762,Soveja,Lemnului
128613,Scarisoara,Textila
161384,Topolog,Alimentara
13935,Albota,Lemnului
87665,Oras Simeria,ConstructiiMasini
112245,Eselnita,Lemnului
153204,Mavrodin,Textila
5755,Miraslau,Mobila
30336,Pietroasa,Lemnului
95872,Belcesti,Alimentara
177799,Straoane,Textila
79497,Capreni,Textila
104083,Luica,Alimentara
128659,Schitu,Alimentara
136848,Oras Ardud,ConstructiiMasini
63125,Valu Lui Traian,ConstructiiMasini
22166,Oras Darmanesti,Lemnului
120478,Chibed,Alimentara
120487,Corunca,Textila
71340,Bulzesti,Alimentara
13999,Aninoasa,Lemnului
63152,Lumina,Alimentara
177842,Suraia,Textila
46769,Galbinasi,Alimentara
120511,Bereni,Mobila
54975,Municipiul Cluj-Napoca,Energetica
87745,Baia De Cris,CalculatoareElectronica
63170,Vulturu,Alimentara
95943,Bivolari,Alimentara
128711,Oras Scornicesti,Alimentara
161482,Valea Nucarilor,Textila
104136,Oras Mihailesti,Alimentara
112334,Ilovita,Lemnului
30416,Pocola,Alimentara
145104,Mosna,Alimentara
46803,Gheraseni,Alimentara
169681,Fartatesti,Alimentara
63189,Tortoman,Alimentara
136919,Batarci,Lemnului
63198,Amzacea,Lemnului
55008,Municipiul Dej,ConstructiiMasini
79585,Catunele,Alimentara
14049,Arefu,Textila
112370,Isverna,Lemnului
145140,Nocrich,Lemnului
153339,Marzanesti,Mobila
96003,Ungheni,Alimentara
14085,Babana,Lemnului
30470,Pomezeu,Textila
136964,Beltiug,Alimentara
161552,Bestepe,Alimentara
46867,Glodeanu Sarat,Alimentara
55062,Cuzdrioara,Mobila
161561,Valea Teilor,Mobila
145202,Orlat,Lemnului
104243,Moara Vlasiei,CalculatoareElectronica
63286,Costinesti,Lemnului
46910,Glodeanu-Silistea,Alimentara
63294,Baraganu,Alimentara
177986,Tataranu,Alimentara
55106,Jichisu De Jos,Energetica
63300,Cuza Voda,Alimentara
137032,Berveni,Alimentara
38731,Ripiceni,Alimentara
104270,Movilita,ConstructiiMasini
112469,Izvoru Barzii,Alimentara
14165,Baiculesti,Lemnului
63318,Saligny,Lemnului
71518,Caraula,Alimentara
128864,Seaca,Alimentara
30568,Popesti,Textila
22380,Dofteana,Mobila
96110,Butea,Alimentara
137069,Bixad,Lemnului
55160,Mica,Lemnului
79736,Calnic,Alimentara
178046,Tamboesti,Textila
153473,Olteni,Alimentara
137103,Barsau,Textila
145293,Porumbacu De Jos,ConstructiiMasini
71572,Castranova,Alimentara
120726,Municipiul Piatra-Neamt,Alimentara
47006,Grebanu,Mobila
6048,Noslac,ConstructiiMasini
153507,Orbeasca,Alimentara
63394,Municipiul Sfantu Gheorghe,Alimentara
112548,Jiana,Lemnului
30648,Rabagani,Lemnului
22460,Faraoani,Lemnului
87996,Baru,Textila
14272,Balilesti,Lemnului
38848,Romanesti,Alimentara
96192,Ciortesti,Textila
120771,Dumbrava Rosie,ChimicaFarmaceutica
128962,Spineni,Lemnului
178117,Tulnici,Lemnului
145355,Racovita,Lemnului
71634,Celaru,Alimentara
63447,Oras Baraolt,Alimentara
112600,Livezile,Alimentara
55259,Municipiul Turda,ConstructiiMasini
79834,Crasna,Textila
153561,Piatra,Alimentara
137185,Botiz,Alimentara
104421,Nuci,Lemnului
145382,Rau Sadului,Lemnului
6119,Ocolis,Lemnului
47079,Gura Teghii,Lemnului
38893,Santa Mare,Alimentara
55277,Mihai Viteazu,Alimentara
88047,Bacia,Lemnului
120824,Savinesti,Textila
30719,Remetea,Lemnului
96254,Ciurea,Lemnului
161794,Municipiul Barlad,ConstructiiMasini
145408,Rosia,Alimentara
178180,Tifesti,Lemnului
153605,Plosca,Textila
