Siruta,Localitate,Activitate
115076,Adamus,Lemnului
131461,Dumbravesti,ConstructiiMasini
49545,Smeeni,Alimentara
82314,Stoina,Alimentara
57742,Frata,Alimentara
33177,Cosbuc,Textila
41382,Maierus,Mobila
24999,Rosiori,Alimentara
90538,Pui,Lemnului
172457,Prundeni,Alimentara
147884,Crucea,Lemnului
33202,Dumitra,Alimentara
139704,Municipiul Zalau,Metalurgica
156106,Boldur,Alimentara
41417,Mandra,Lemnului
115147,Alunis,Alimentara
131540,Oras Sinaia,ConstructiiMasini
98774,Ruginoasa,Metalurgica
66009,Branesti,Lemnului
49625,Stalpu,Alimentara
139740,Oras Cehu Silvaniei,Textila
172509,Racovita,Lemnului
33248,Feldru,Lemnului
106979,Oras Viseu De Sus,Lemnului
147937,Darmanesti,Alimentara
123371,Pastraveni,Alimentara
25068,Sascut,Lemnului
115183,Apold,Lemnului
107001,Ardusat,Alimentara
33275,Galatii Bistritei,Alimentara
131577,Oras Slanic,Energetica
41471,Moieciu,Mobila
82430,Oras Tismana,Lemnului
98827,Schitu Duca,Alimentara
16908,Leresti,Lemnului
66081,Oras Titu,Textila
123424,Petricani,Textila
139811,Oras Jibou,Textila
148006,Oras Dolhasca,Alimentara
115236,Atintis,Alimentara
90663,Rapoltu Mare,Lemnului
107047,Arinis,ChimicaFarmaceutica
131620,Oras Urlati,ChimicaFarmaceutica
172581,Roesti,Lemnului
164393,Ivanesti,Alimentara
57902,Gilau,Alimentara
16944,Lunca Corbului,ConstructiiMasini
156213,Carpinis,Alimentara
33337,Ilva Mare,Lemnului
25148,Sanduleni,Mobila
107083,Asuaju De Sus,Mobila
74322,Teasc,Energetica
33364,Ilva Mica,Lemnului
123479,Piatra Soimului,Lemnului
57948,Garbau,Lemnului
156259,Cenad,Alimentara
98916,Scanteia,Lemnului
33382,Josenii Bargaului,Lemnului
49769,Topliceni,Textila
41578,Parau,Lemnului
115307,Bahnea,Alimentara
139884,Oras Simleu Silvaniei,Textila
107118,Baita De Sub Codru,ChimicaFarmaceutica
74359,Terpezita,Alimentara
156277,Cenei,Energetica
8826,Vintu De Jos,Lemnului
82555,Turburea,Alimentara
123521,Pipirig,Lemnului
148097,Dolhesti,Alimentara
25228,Saucesti,Mobila
107154,Baiut,Lemnului
41621,Poiana Marului,Alimentara
156311,Cheveresu Mare,Alimentara
66198,Baleni,Mobila
58008,Iara,Lemnului
17049,Malureni,Lemnului
33435,Lechinta,Mobila
148131,Dorna-Arini,Lemnului
98998,Scobinti,Textila
49849,Tintesti,Alimentara
115389,Band,Lemnului
164543,Ivesti,Alimentara
41667,Prejmer,ConstructiiMasini
156357,Oras Ciacova,Alimentara
25291,Scorteni,Lemnului
17101,Merisani,Mobila
123601,Pangarati,Energetica
41701,Racos,Alimentara
49894,Ulmeni,ConstructiiMasini
148202,Dorna Candrenilor,Alimentara
33514,Lesu,Lemnului
131817,Oras Valenii De Munte,Alimentara
82680,Tantareni,Alimentara
131835,Gura Vitioarei,Lemnului
90878,Rau De Mori,Lemnului
33541,Livezile,ConstructiiMasini
107270,Bistra,Lemnului
41738,Recea,Mobila
74509,Tuglui,Mobila
172812,Runcu,Alimentara
156437,Comlosu Mare,Alimentara
66330,Bezdead,Lemnului
123674,Podoleni,Alimentara
99101,Siretel,Mobila
58142,Iclod,Alimentara
49956,Vadu Pasii,Textila
82733,Urdari,Lemnului
107314,Barsana,Alimentara
17209,Micesti,ConstructiiMasini
131899,Adunati,Textila
9019,Cut,Mobila
156473,Costeiu,Alimentara
115520,Batos,Lemnului
9026,Bucerdea Granoasa,Alimentara
