Siruta,Localitate,Cifra de afaceri
65752,Petresti,1369851.0
82136,Stanesti,450433.0
164062,Garceni,0.0
123102,Ion Creanga,1300989.0
16613,Harsesti,13047.0
90342,Orastioara De Sus,33630.0
8425,Vidra,1297054.0
114925,Municipiul Tarnaveni,71000606.0
57582,Feleacu,7210084.0
172279,Pesceana,0.0
33015,Chiochis,213063.0
106746,Oras Borsa,42180549.0
147713,Carlibaba,414513.0
24837,Rachitoasa,145158.0
155911,Biled,19760433.0
131336,Oras Comarnic,13088920.0
73996,Sadova,112778.0
16659,Hartiesti,0.0
114970,Acatari,6652188.0
49439,Scutelnici,3286799.0
106782,Oras Cavnic,5567694.0
41248,Homorod,0.0
123175,Margineni,376998.0
164133,Grivita,117022.0
98603,Prisacani,185663.0
57644,Fizesu Gherlii,0.0
74028,Salcuta,0.0
65841,Municipiul Moreni,38991838.0
172340,Pietrari,14742361.0
155957,Barna,0.0
90431,Pestisu Mic,6280714.0
106817,Oras Targu Lapus,451736216.0
82243,Stejari,849515.0
41284,Jibert,195901.0
147786,Cornu Luncii,52506389.0
49484,Siriu,824084.0
65869,Iedera,19720.0
131407,Oras Mizil,192765350.0
74073,Scaesti,0.0
98649,Probota,3504.0
172377,Popesti,60311.0
123228,Moldoveni,0.0
33122,Chiuza,1778575.0
16739,Izvoru,0.0
164197,Hoceni,0.0
57706,Floresti,107445360.0
131443,Oras Plopeni,39232408.0
16757,Leordeni,5320207.0
123255,Oniceni,237786.0
98685,Raducaneni,1508210.0
74108,Seaca De Camp,0.0
65921,Oras Pucioasa,277753632.0
156035,Bogda,0.0
41346,Lisa,865737.0
115076,Adamus,613261.0
131461,Dumbravesti,1734711.0
49545,Smeeni,653193.0
82314,Stoina,23146.0
57742,Frata,1041406.0
74135,Seaca De Padure,0.0
33177,Cosbuc,229029.0
41382,Maierus,20971586.0
24999,Rosiori,105130.0
90538,Pui,4399049.0
172457,Prundeni,1598827.0
147884,Crucea,215170.0
33202,Dumitra,230863.0
98738,Romanesti,0.0
164277,Dimitrie Cantemir,0.0
74171,Secu,0.0
139704,Municipiul Zalau,2297498320.0
156106,Boldur,193890.0
41417,Mandra,90139772.0
115147,Alunis,1222797.0
131540,Oras Sinaia,44295589.0
98774,Ruginoasa,2132122.0
66009,Branesti,4047037.0
49625,Stalpu,3430347.0
82396,Telesti,0.0
139740,Oras Cehu Silvaniei,103974760.0
172509,Racovita,721128.0
33248,Feldru,4884978.0
106979,Oras Viseu De Sus,132391295.0
147937,Darmanesti,9219948.0
57831,Geaca,0.0
123371,Pastraveni,3822975.0
49643,Tisau,0.0
25068,Sascut,6829010.0
115183,Apold,514880.0
74224,Silistea Crucii,0.0
164339,Iana,0.0
156151,Brestovat,0.0
107001,Ardusat,54224800.0
33275,Galatii Bistritei,1375383.0
131577,Oras Slanic,112888.0
41471,Moieciu,543752.0
82430,Oras Tismana,6317607.0
74242,Sopot,0.0
98827,Schitu Duca,189800.0
16908,Leresti,6100713.0
66081,Oras Titu,56272715.0
123424,Petricani,6428097.0
139811,Oras Jibou,113232984.0
148006,Oras Dolhasca,2450765.0
115236,Atintis,182156.0
90663,Rapoltu Mare,2057174.0
107047,Arinis,3413868.0
131620,Oras Urlati,280742062.0
172581,Roesti,4370.0
164393,Ivanesti,224075.0
57902,Gilau,64518478.0
16944,Lunca Corbului,13227848.0
156213,Carpinis,42129765.0
33337,Ilva Mare,384996.0
25148,Sanduleni,405927.0
41541,Ormenis,0.0
107083,Asuaju De Sus,47469.0
74322,Teasc,20971.0
33364,Ilva Mica,18565156.0
123479,Piatra Soimului,4050947.0
57948,Garbau,526213.0
156259,Cenad,404902.0
90725,Rachitova,0.0
98916,Scanteia,240459.0
33382,Josenii Bargaului,3545666.0
49769,Topliceni,27602289.0
66152,Branistea,0.0
41578,Parau,90138.0
115307,Bahnea,1465383.0
139884,Oras Simleu Silvaniei,83688215.0
107118,Baita De Sub Codru,5717456.0
74359,Terpezita,1263886.0
156277,Cenei,1667569.0
8826,Vintu De Jos,11646213.0
