Siruta,Localitate,CF/Loc
144928,Oras Miercurea Sibiului,26808.102409638555
40606,Bod,25969.524485902057
141447,Hida,25600.756944444445
60482,Municipiul Mangalia,25477.195231668917
26653,Santandrei,25056.769297939223
114809,Municipiul Reghin,25040.21976096451
151978,Oras Zimnicea,24936.08261573325
131817,Oras Valenii De Munte,24913.103316700908
64461,Lemnia,24655.750259067358
32483,Oras Beclean,24449.521199837858
167473,Municipiul Ramnicu Valcea,24245.67017301737
143557,Selimbar,24183.89657408408
131620,Oras Urlati,24131.172597558878
32394,Municipiul Bistrita,24062.61030883691
32195,Gepiu,24020.639503507824
1696,Oras Cugir,23768.74850567842
92658,Municipiul Slobozia,23758.83694485758
69900,Municipiul Craiova,23602.112369503116
51500,Berzovia,23335.46192893401
32884,Cetate,22779.892227979275
30773,Rieni,22727.062295081967
100335,Rachiteni,22717.81971503344
84825,Lupeni,22425.23042457862
26975,Municipiul Salonta,22278.390186072884
41088,Harman,21280.985974528456
132805,Cornu,21195.683069029852
158528,Satchinez,21145.537283754227
114710,Oras Ludus,20889.19374077019
165817,Rosiesti,20564.07096971551
83133,Municipiul Odorheiu Secuiesc,20481.90476807463
40198,Municipiul Brasov,20333.142791840663
155261,Dumbravita,20152.85339377311
107001,Ardusat,19618.23444283647
75098,Municipiul Galati,19531.246928859855
35839,Rachiti,19491.63270336894
65154,Estelnic,19461.42943722944
105419,Stefanestii De Jos,19049.414500886
143735,Oras Cisnadie,18899.154797000258
14405,Berevoesti,18056.929039612427
65921,Oras Pucioasa,18034.779040322057
132510,Ceptura,17983.028411536805
40241,Municipiul Codlea,17931.647336144117
72409,Ghercesti,17826.296452194827
180055,Crivat,17782.450656295576
107430,Boiu Mare,17651.572824156305
155403,Oras Buzias,17465.86586239847
65342,Municipiul Targoviste,17431.935477324674
121297,Bicaz-Chei,17417.128001715268
86188,Tusnad,17326.494133574008
100576,Oras Buftea,17014.321330140516
159614,Municipiul Tulcea,16984.741127837144
86990,Municipiul Petrosani,16909.494250214026
73068,Malu Mare,16844.077848388562
84086,Ciumani,16552.689484350372
56210,Bontida,16525.364139344263
55384,Municipiul Gherla,16517.815358141535
133688,Gura Vadului,16342.957022596367
157736,Manastiur,16312.67417677643
65413,Doicesti,16190.123407809564
55277,Mihai Viteazu,16043.729249352891
179221,Oras Bragadiru,15929.1767579829
96478,Cotnari,15819.4052123794
13668,Oras Costesti,15786.162751362526
115851,Breaza,15741.200633161852
137540,Culciu,15712.625990871968
108712,Satulung,15684.655928487098
9574,Oras Lipova,15654.184362934362
179533,Oras Popesti Leordeni,15621.549768643064
136526,Municipiul Carei,15348.642290963782
155350,Municipiul Lugoj,15294.396086892766
130534,Municipiul Ploiesti,14873.089129114227
15233,Cateasca,14721.044319097502
26699,Oras Alesd,14642.877623306473
41667,Prejmer,14569.15738045738
39792,Vlasinesti,14363.727181544635
101083,Belciugatele,14133.512319851232
13757,Oras Topoloveni,14128.185824769573
86438,Madaras,13950.658493089612
114382,Sancraiu De Mures,13941.20763666548
179383,Jilava,13932.224103106666
114514,Municipiul Sighisoara,13866.370364963504
158314,Oras Recas,13747.512809743805
95391,Municipiul Pascani,13747.16183758615
21249,Beresti-Bistrita,13479.538735529832
1017,Municipiul Alba Iulia,13469.243958913883
139740,Oras Cehu Silvaniei,13402.263469966487
